# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	883874	884716	-							PVVCY_0902530	843		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	883874	884716	-	VEV56443.1			tRNA (guanine-N(7)-)-methyltransferase, putative			PVVCY_0902530	843	280	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	886098	886798	+							PVVCY_0902540	701		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	886098	886798	+	VEV56444.1			conserved Plasmodium protein, unknown function			PVVCY_0902540	471	156	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	887389	890261	+							PVVCY_0902550	2873		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	887389	890261	+	VEV56445.1			protein disulfide-isomerase, putative			PVVCY_0902550	1269	422	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	891535	893462	+							PVVCY_0902560	1928		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	891535	893462	+	VEV56446.1			CRAL/TRIO domain-containing protein, putative			PVVCY_0902560	900	299	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	894096	895856	-							PVVCY_0902570	1761		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	894096	895856	-	VEV56447.1			conserved Plasmodium protein, unknown function			PVVCY_0902570	1416	471	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	896539	897918	-							PVVCY_0902580	1380		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	896539	897918	-	VEV56448.1			conserved Plasmodium protein, unknown function			PVVCY_0902580	1380	459	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	897965	898717	-							PVVCY_0902590	753		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	897965	898717	-	VEV56449.1			conserved Plasmodium protein, unknown function			PVVCY_0902590	753	250	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	900043	901611	-							PVVCY_0902600	1569		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	900043	901611	-	VEV56450.1			conserved Plasmodium protein, unknown function			PVVCY_0902600	1320	439	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	903248	909226	+							PVVCY_0902610	5979		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	903248	909226	+	VEV56451.1			conserved Plasmodium protein, unknown function			PVVCY_0902610	5577	1858	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	909887	913303	+							PVVCY_0902620	3417		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	909887	913303	+	VEV56452.1			conserved Plasmodium protein, unknown function			PVVCY_0902620	2361	786	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	913850	914941	-							PVVCY_0902630	1092		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	913850	914941	-	VEV56453.1			prefoldin subunit 5, putative			PVVCY_0902630	660	219	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	915816	916226	+							PVVCY_0902640	411		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	915816	916226	+	VEV56454.1			multiprotein-bridging factor 1, putative			PVVCY_0902640	411	136	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	916848	921567	-							PVVCY_0902650	4720		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	916848	921567	-	VEV56455.1			ATP-dependent 6-phosphofructokinase, putative			PVVCY_0902650	4137	1378	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	922264	924629	-							PVVCY_0902660	2366		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	922264	924629	-	VEV56456.1			geranylgeranyl pyrophosphate synthase, putative			PVVCY_0902660	1131	376	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	925442	927358	+							PVVCY_0902670	1917		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	925442	927358	+	VEV56457.1			conserved Plasmodium protein, unknown function			PVVCY_0902670	1917	638	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	928535	930388	-							PVVCY_0902680	1854		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	928535	930388	-	VEV56458.1			CCR4-NOT transcription complex subunit 2, putative			PVVCY_0902680	1854	617	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	932822	934210	+							PVVCY_0902690	1389		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	932822	934210	+	VEV56459.1			GPI-anchor transamidase, putative			PVVCY_0902690	1389	462	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	935547	937851	+							PVVCY_0902700	2305		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	935547	937851	+	VEV56460.1			conserved Plasmodium protein, unknown function			PVVCY_0902700	1833	610	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	939104	940551	+							PVVCY_0902710	1448		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	939104	940551	+	VEV56461.1			spermidine synthase, putative			PVVCY_0902710	966	321	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	941264	942034	-							PVVCY_0902720	771		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	941264	942034	-	VEV56462.1			fam-d protein			PVVCY_0902720	771	256	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	943747	944385	-							PVVCY_0902730	639		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	943747	944385	-	VEV56463.1			fam-d protein, fragment			PVVCY_0902730	426	141	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	945504	946274	-							PVVCY_0902740	771		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	945504	946274	-	VEV56464.1			fam-d protein			PVVCY_0902740	771	256	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	947611	948381	-							PVVCY_0902750	771		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	947611	948381	-	VEV56465.1			fam-d protein			PVVCY_0902750	771	256	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	949731	950522	-							PVVCY_0902760	792		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	949731	950522	-	VEV56466.1			fam-d protein			PVVCY_0902760	792	263	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	951751	952518	-							PVVCY_0902770	768		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	951751	952518	-	VEV56467.1			fam-d protein			PVVCY_0902770	768	255	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	954948	956111	+							PVVCY_0902780	1164		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	954948	956111	+	VEV56468.1			parasitophorous vacuolar protein 1, putative			PVVCY_0902780	1164	387	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	958340	960124	+							PVVCY_0902790	1785		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	958340	960124	+	VEV56469.1			26S proteasome regulatory subunit RPN7, putative			PVVCY_0902790	1182	393	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	960444	965672	-							PVVCY_0902800	5229		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	960444	965672	-	VEV56470.1			conserved Plasmodium protein, unknown function			PVVCY_0902800	5229	1742	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	967039	968838	-							PVVCY_0902810	1800		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	967039	968838	-	VEV56471.1			rRNA (cytosine-C(5))-methyltransferase, putative			PVVCY_0902810	1800	599	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	970365	972767	+							PVVCY_0902820	2403		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	970365	972767	+	VEV56472.1			A/G-specific adenine glycosylase, putative			PVVCY_0902820	1854	617	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	973724	975595	+							PVVCY_0902830	1872		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	973724	975595	+	VEV56473.1			phosphatidylinositol-4-phosphate 5-kinase, putative			PVVCY_0902830	1872	623	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	975717	976802	+							PVVCY_0902840	1086		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	975717	976802	+	VEV56474.1			phosphatidylinositol-4-phosphate 5-kinase, putative			PVVCY_0902840	1086	361	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	978181	978732	-							PVVCY_0902850	552		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	978181	978732	-	VEV56475.1			conserved Plasmodium protein, unknown function			PVVCY_0902850	552	183	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	980344	981177	+							PVVCY_0902860	834		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	980344	981177	+	VEV56476.1			conserved Plasmodium protein, unknown function			PVVCY_0902860	834	277	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	983496	984986	+							PVVCY_0902870	1491		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	983496	984986	+	VEV56477.1			major facilitator superfamily-related transporter, putative			PVVCY_0902870	1491	496	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	985647	987845	-							PVVCY_0902880	2199		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	985647	987845	-	VEV56478.1			phosphoacetylglucosamine mutase, putative			PVVCY_0902880	2199	732	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	989128	989373	-							PVVCY_0902890	246		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	989128	989373	-	VEV56479.1			60S ribosomal protein L38, putative			PVVCY_0902890	246	81	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	991440	992387	+							PVVCY_0902900	948		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	991440	992387	+	VEV56480.1			60S acidic ribosomal protein P0, putative			PVVCY_0902900	948	315	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	994830	996176	+							PVVCY_0902920	1347		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	994830	996176	+	VEV56481.1			26S protease regulatory subunit 6A, putative			PVVCY_0902920	1347	448	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	997267	1001041	+							PVVCY_0902930	3775		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	997267	1001041	+	VEV56482.1			conserved oligomeric Golgi complex subunit 2, putative			PVVCY_0902930	2865	954	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1001447	1004181	+							PVVCY_0902940	2735		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1001447	1004181	+	VEV56483.1			methyltransferase, putative			PVVCY_0902940	2166	721	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1004262	1009007	-							PVVCY_0902950	4746		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1004262	1009007	-	VEV56484.1			structural maintenance of chromosomes protein 1, putative			PVVCY_0902950	4746	1581	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1011128	1012899	+							PVVCY_0902960	1772		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1011128	1012899	+	VEV56485.1			armadillo repeat protein PF16, putative			PVVCY_0902960	1533	510	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1013428	1017110	+							PVVCY_0902970	3683		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1013428	1017110	+	VEV56486.1			conserved Plasmodium protein, unknown function			PVVCY_0902970	3462	1153	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1017350	1017751	-							PVVCY_0902980	402		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1017350	1017751	-	VEV56487.1			RNA-binding protein s1, putative			PVVCY_0902980	402	133	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1018808	1020670	-							PVVCY_0902990	1863		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1018808	1020670	-	VEV56488.1			conserved Plasmodium protein, unknown function			PVVCY_0902990	1863	620	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1021950	1023772	+							PVVCY_0903000	1823		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1021950	1023772	+	VEV56489.1			conserved Plasmodium protein, unknown function			PVVCY_0903000	1185	394	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1023896	1025083	-							PVVCY_0903010	1188		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1023896	1025083	-	VEV56490.1			conserved Plasmodium protein, unknown function			PVVCY_0903010	1188	395	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1025725	1030263	-							PVVCY_0903020	4539		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1025725	1030263	-	VEV56491.1			conserved Plasmodium protein, unknown function			PVVCY_0903020	4422	1473	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1031606	1032397	-							PVVCY_0903030	792		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1031606	1032397	-	VEV56492.1			conserved Plasmodium protein, unknown function			PVVCY_0903030	792	263	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1034100	1035007	-							PVVCY_0903040	908		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1034100	1035007	-	VEV56493.1			conserved Plasmodium protein, unknown function			PVVCY_0903040	432	143	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1035949	1039518	-							PVVCY_0903050	3570		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1035949	1039518	-	VEV56494.1			oxysterol-binding protein, putative			PVVCY_0903050	3570	1189	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1040797	1042935	-							PVVCY_0903060	2139		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1040797	1042935	-	VEV56495.1			conserved Plasmodium protein, unknown function			PVVCY_0903060	2139	712	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1045672	1047969	+							PVVCY_0903070	2298		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1045672	1047969	+	VEV56496.1			ubiquitin-like protein, putative			PVVCY_0903070	2298	765	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1048882	1051563	-							PVVCY_0903080	2682		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1048882	1051563	-	VEV56497.1			RNA-binding protein, putative			PVVCY_0903080	2682	893	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1053210	1055000	-							PVVCY_0903090	1791		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1053210	1055000	-	VEV56498.1			T-complex protein 1 subunit alpha, putative			PVVCY_0903090	1632	543	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1057400	1058221	+							PVVCY_0903100	822		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1057400	1058221	+	VEV56499.1			nucleic acid binding protein, putative			PVVCY_0903100	822	273	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1058857	1061952	-							PVVCY_0903110	3096		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1058857	1061952	-	VEV56500.1			conserved Plasmodium protein, unknown function			PVVCY_0903110	3096	1031	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1063882	1067868	+							PVVCY_0903120	3987		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1063882	1067868	+	VEV56501.1			amino acid transporter, putative			PVVCY_0903120	3987	1328	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1068201	1069448	-							PVVCY_0903130	1248		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1068201	1069448	-	VEV56502.1			pre-mRNA-splicing factor 38A, putative			PVVCY_0903130	1056	351	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1070146	1070985	+							PVVCY_0903140	840		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1070146	1070985	+	VEV56503.1			50S ribosomal protein L2, putative			PVVCY_0903140	840	279	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1072021	1072797	+							PVVCY_0903150	777		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1072021	1072797	+	VEV56504.1			aquaglyceroporin, putative			PVVCY_0903150	777	258	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1073557	1074156	+							PVVCY_0903160	600		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1073557	1074156	+	VEV56505.1			glycine cleavage system H protein, putative			PVVCY_0903160	600	199	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1075274	1075363	+							PVVCY_0903170	90		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1075274	1075363	+	VEV56506.1			conserved Plasmodium protein, unknown function			PVVCY_0903170	90	29	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1076721	1079939	+							PVVCY_0903180	3219		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1076721	1079939	+	VEV56507.1			conserved Plasmodium protein, unknown function			PVVCY_0903180	3132	1043	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1080373	1084241	-							PVVCY_0903190	3869		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1080373	1084241	-	VEV56508.1			conserved Plasmodium protein, unknown function			PVVCY_0903190	3744	1247	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1087015	1088136	+							PVVCY_0903200	1122		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1087015	1088136	+	VEV56509.1			LEM3/CDC50 family protein, putative			PVVCY_0903200	1122	373	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1089888	1091564	+							PVVCY_0903210	1677		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1089888	1091564	+	VEV56510.1			apical membrane antigen 1, putative			PVVCY_0903210	1677	558	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1093102	1094353	+							PVVCY_0903220	1252		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1093102	1094353	+	VEV56511.1			conserved Plasmodium protein, unknown function			PVVCY_0903220	1125	374	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1094606	1096438	-							PVVCY_0903230	1833		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1094606	1096438	-	VEV56512.1			conserved Plasmodium protein, unknown function			PVVCY_0903230	1833	610	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1097251	1099546	+							PVVCY_0903240	2296		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1097251	1099546	+	VEV56513.1			FHA domain-containing protein, putative			PVVCY_0903240	2184	727	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1100794	1103260	+							PVVCY_0903250	2467		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1100794	1103260	+	VEV56514.1			RNA (uracil-5-)methyltransferase, putative			PVVCY_0903250	2355	784	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1104475	1108434	+							PVVCY_0903260	3960		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1104475	1108434	+	VEV56515.1			conserved Plasmodium protein, unknown function			PVVCY_0903260	3792	1263	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1110639	1112627	+							PVVCY_0903270	1989		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1110639	1112627	+	VEV56516.1			heat shock protein 70, putative			PVVCY_0903270	1989	662	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1113457	1114728	-							PVVCY_0903280	1272		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1113457	1114728	-	VEV56517.1			protein disulfide isomerase related protein, putative			PVVCY_0903280	1272	423	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1117114	1122657	+							PVVCY_0903290	5544		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1117114	1122657	+	VEV56518.1			conserved Plasmodium protein, unknown function			PVVCY_0903290	5544	1847	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1124244	1130426	+							PVVCY_0903300	6183		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1124244	1130426	+	VEV56519.1			conserved Plasmodium protein, unknown function			PVVCY_0903300	6183	2060	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1130731	1131834	-							PVVCY_0903310	1104		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1130731	1131834	-	VEV56520.1			conserved Plasmodium protein, unknown function			PVVCY_0903310	525	174	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1133316	1138067	+							PVVCY_0903320	4752		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1133316	1138067	+	VEV56521.1			alpha/beta hydrolase, putative			PVVCY_0903320	4659	1552	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1138897	1143437	-							PVVCY_0903330	4541		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1138897	1143437	-	VEV56522.1			DNA-directed RNA polymerase I subunit RPA2, putative			PVVCY_0903330	4440	1479	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1144810	1146294	+							PVVCY_0903340	1485		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1144810	1146294	+	VEV56523.1			coatomer subunit delta, putative			PVVCY_0903340	1485	494	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1147380	1149260	+							PVVCY_0903350	1881		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1147380	1149260	+	VEV56524.1			conserved Plasmodium protein, unknown function			PVVCY_0903350	1881	626	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1149893	1151609	+							PVVCY_0903360	1717		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1149893	1151609	+	VEV56525.1			PQ-loop repeat-containing protein			PVVCY_0903360	693	230	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_09	LR215065.1	1152720	1154552	-							PVVCY_0903370	1833		
